Year,Month,Actual Temperature
1925,12,-3.184
1926,1,-4.237
1926,2,-1.553
1926,3,5.986
1926,4,12.935
1926,5,19.548
1926,6,24.573
1926,7,26.379
1926,8,25.916
1926,9,19.709
1926,10,11.909
1926,11,5.094
1926,12,-5.423
1927,1,-5.784
1927,2,-2.433
1927,3,3.967
1927,4,13.406
1927,5,18.703
1927,6,24.447
1927,7,27.28
1927,8,25.601
1927,9,21.021
1927,10,12.753
1927,11,6.735
1927,12,-3.233
1928,1,-5.329
1928,2,-2.811
1928,3,5.416
1928,4,13.826
1928,5,20.962
1928,6,24.269
1928,7,26.384
1928,8,24.916
1928,9,19.405
1928,10,11.859
1928,11,2.825
1928,12,-4.129
1929,1,-5.574
1929,2,-2.935
1929,3,5.287
1929,4,12.622
1929,5,20.474
1929,6,25.734
1929,7,26.53
1929,8,24.89
1929,9,20.347
1929,10,12.359
1929,11,3.098
1929,12,-5.01
1930,1,-6.462
1930,2,-1.128
1930,3,6.449
1930,4,13.843
1930,5,20.269
1930,6,24.963
1930,7,27.082
1930,8,25.008
1930,9,19.956
1930,10,13.121
1930,11,1.843
1930,12,-2.238
1931,1,-5.238
1931,2,-4.007
1931,3,5.885
1931,4,11.839
1931,5,18.95
1931,6,24.523
1931,7,25.62
1931,8,25.376
1931,9,20.608
1931,10,12.293
1931,11,4.35
1931,12,-3.578
1932,1,-2.169
1932,2,-3.534
1932,3,3.366
1932,4,12.654
1932,5,20.164
1932,6,24.326
1932,7,26.59
1932,8,25.489
1932,9,19.943
1932,10,12.171
1932,11,4.591
1932,12,-1.742
1933,1,-7.712
1933,2,-2.792
1933,3,2.001
1933,4,12.209
1933,5,19.963
1933,6,22.937
1933,7,26.817
1933,8,24.243
1933,9,20.912
1933,10,12.164
1933,11,3.567
1933,12,-1.864
1934,1,-7.55
1934,2,-1.215
1934,3,3.258
1934,4,11.364
1934,5,20.655
1934,6,23.698
1934,7,27.235
1934,8,23.805
1934,9,19.807
1934,10,11.434
1934,11,3.919
1934,12,-1.097
1935,1,-4.449
1935,2,0.786
1935,3,7.222
1935,4,14.109
1935,5,19.98
1935,6,24.187
1935,7,25.938
1935,8,25.59
1935,9,21.292
1935,10,14.578
1935,11,3.0
1935,12,-6.869
1936,1,-8.366
1936,2,-5.316
1936,3,1.381
